Sex,Age,Location,2017,2018,2019,avg_mortality
Female,(65-69),Pazardzhik,137.0,134.0,143.0,138.0
Female,(65-69),Pernik,97.0,75.0,85.0,85.67
Female,(65-69),Pleven,188.0,171.0,131.0,163.33
Female,(65-69),Plovdiv,343.0,304.0,312.0,319.67
Female,(65-69),Razgrad,77.0,68.0,89.0,78.0
Female,(65-69),Ruse,130.0,142.0,116.0,129.33
Female,(65-69),Shumen,124.0,93.0,109.0,108.67
Female,(65-69),Silistra,75.0,71.0,73.0,73.0
Female,(65-69),Sliven,97.0,106.0,99.0,100.67
Female,(65-69),Smolyan,63.0,60.0,46.0,56.33
Female,(65-69),Sofia,142.0,144.0,144.0,143.33
Female,(65-69),Sofia (stolitsa),646.0,636.0,663.0,648.33
Female,(65-69),Stara Zagora,212.0,207.0,177.0,198.67
Female,(65-69),Targovishte,74.0,74.0,81.0,76.33
Female,(65-69),Varna,217.0,243.0,228.0,229.33
Female,(65-69),Veliko Tarnovo,153.0,146.0,167.0,155.33
Female,(65-69),Vidin,66.0,63.0,65.0,64.67
Female,(65-69),Vratsa,128.0,102.0,107.0,112.33
Female,(65-69),Yambol,74.0,71.0,82.0,75.67
Female,(70-74),Blagoevgrad,197.0,183.0,181.0,187.0
Female,(70-74),Burgas,281.0,278.0,280.0,279.67
Female,(70-74),Dobrich,167.0,163.0,184.0,171.33
Female,(70-74),Gabrovo,115.0,125.0,126.0,122.0
Female,(70-74),Haskovo,195.0,162.0,146.0,167.67
Female,(70-74),Kardzhali,102.0,92.0,89.0,94.33
Female,(70-74),Kyustendil,116.0,113.0,114.0,114.33
Female,(70-74),Lovech,144.0,126.0,130.0,133.33
Female,(70-74),Montana,136.0,129.0,164.0,143.0
Female,(70-74),Pazardzhik,202.0,195.0,231.0,209.33
Female,(70-74),Pernik,115.0,106.0,139.0,120.0
Female,(70-74),Pleven,238.0,223.0,236.0,232.33
Female,(70-74),Plovdiv,435.0,469.0,492.0,465.33
Female,(70-74),Razgrad,123.0,115.0,104.0,114.0
Female,(70-74),Ruse,214.0,205.0,189.0,202.67
Female,(70-74),Shumen,156.0,170.0,155.0,160.33
Female,(70-74),Silistra,125.0,114.0,109.0,116.0
Female,(70-74),Sliven,122.0,134.0,163.0,139.67
Female,(70-74),Smolyan,88.0,74.0,88.0,83.33
Female,(70-74),Sofia,198.0,224.0,226.0,216.0
Female,(70-74),Sofia (stolitsa),808.0,838.0,855.0,833.67
Female,(70-74),Stara Zagora,249.0,249.0,253.0,250.33
Female,(70-74),Targovishte,101.0,98.0,116.0,105.0
Female,(70-74),Varna,289.0,322.0,276.0,295.67
Female,(70-74),Veliko Tarnovo,222.0,216.0,232.0,223.33
Female,(70-74),Vidin,120.0,106.0,109.0,111.67
Female,(70-74),Vratsa,180.0,191.0,165.0,178.67
Female,(70-74),Yambol,99.0,99.0,113.0,103.67
Female,(75-79),Blagoevgrad,302.0,302.0,284.0,296.0
Female,(75-79),Burgas,376.0,373.0,381.0,376.67
Female,(75-79),Dobrich,222.0,192.0,238.0,217.33
Female,(75-79),Gabrovo,168.0,159.0,155.0,160.67
Female,(75-79),Haskovo,241.0,214.0,236.0,230.33
Female,(75-79),Kardzhali,168.0,149.0,141.0,152.67
Female,(75-79),Kyustendil,179.0,174.0,152.0,168.33
Female,(75-79),Lovech,198.0,160.0,188.0,182.0
Female,(75-79),Montana,222.0,204.0,213.0,213.0
Female,(75-79),Pazardzhik,299.0,243.0,292.0,278.0
Female,(75-79),Pernik,177.0,172.0,158.0,169.0
Female,(75-79),Pleven,347.0,323.0,339.0,336.33
Female,(75-79),Plovdiv,681.0,682.0,623.0,662.0
Female,(75-79),Razgrad,162.0,158.0,171.0,163.67
Female,(75-79),Ruse,248.0,256.0,282.0,262.0
Female,(75-79),Shumen,198.0,214.0,183.0,198.33
Female,(75-79),Silistra,131.0,164.0,156.0,150.33
Female,(75-79),Sliven,186.0,198.0,176.0,186.67
Female,(75-79),Smolyan,120.0,121.0,107.0,116.0
Female,(75-79),Sofia,268.0,296.0,263.0,275.67
Female,(75-79),Sofia (stolitsa),936.0,929.0,994.0,953.0
Female,(75-79),Stara Zagora,375.0,353.0,325.0,351.0
Female,(75-79),Targovishte,153.0,149.0,160.0,154.0
Female,(75-79),Varna,416.0,395.0,376.0,395.67
Female,(75-79),Veliko Tarnovo,272.0,322.0,286.0,293.33
Female,(75-79),Vidin,120.0,147.0,136.0,134.33
Female,(75-79),Vratsa,223.0,196.0,225.0,214.67
Female,(75-79),Yambol,135.0,142.0,144.0,140.33
Female,(80-84),Blagoevgrad,439.0,405.0,415.0,419.67
Female,(80-84),Burgas,563.0,530.0,509.0,534.0
Female,(80-84),Dobrich,287.0,260.0,275.0,274.0
Female,(80-84),Gabrovo,280.0,220.0,219.0,239.67
Female,(80-84),Haskovo,427.0,393.0,402.0,407.33
Female,(80-84),Kardzhali,203.0,192.0,225.0,206.67
Female,(80-84),Kyustendil,265.0,236.0,226.0,242.33
Female,(80-84),Lovech,291.0,251.0,264.0,268.67
Female,(80-84),Montana,316.0,328.0,279.0,307.67
Female,(80-84),Pazardzhik,470.0,394.0,372.0,412.0
Female,(80-84),Pernik,236.0,238.0,236.0,236.67
