Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Варна,Бяла,Male,34.0,49.0,41.0,42.0,41.0,44.0,54.0,41.4,4.8,1.96,4.2,37.199999999999996,45.6,2.6,6.3,9.8,41.4 (±4.2),2.6 (±4.2),6.3% (±9.8%)
Варна,Бяла,Total,72.0,83.0,74.0,72.0,76.0,83.0,95.0,75.4,4.1,1.96,3.6,71.80000000000001,79.0,7.6,10.1,5.0,75.4 (±3.6),7.6 (±3.6),10.1% (±5.0%)
Варна,Варна,Female,1732.0,1786.0,1767.0,1922.0,1797.0,2133.0,2719.0,1800.8,64.5,1.96,56.5,1744.3,1857.3,332.2,18.4,3.6,1800.8 (±56.5),332.2 (±56.5),18.4% (±3.6%)
Варна,Варна,Male,2004.0,2020.0,1944.0,1982.0,1972.0,2257.0,2779.0,1984.4,26.2,1.96,23.0,1961.4,2007.4,272.6,13.7,1.3,1984.4 (±23.0),272.6 (±23.0),13.7% (±1.3%)
Варна,Варна,Total,3736.0,3806.0,3711.0,3904.0,3769.0,4390.0,5498.0,3785.2,67.4,1.96,59.1,3726.1,3844.2999999999997,604.8,16.0,1.8,3785.2 (±59.1),604.8 (±59.1),16.0% (±1.8%)
Варна,Ветрино,Female,73.0,67.0,67.0,75.0,58.0,65.0,86.0,68.0,5.9,1.96,5.2,62.8,73.2,-3.0,-4.4,6.8,68.0 (±5.2),-3.0 (±5.2),-4.4% (±6.8%)
Варна,Ветрино,Male,86.0,71.0,85.0,64.0,72.0,67.0,89.0,75.6,8.5,1.96,7.5,68.1,83.1,-8.6,-11.4,8.0,75.6 (±7.5),-8.6 (±7.5),-11.4% (±8.0%)
Варна,Ветрино,Total,159.0,138.0,152.0,139.0,130.0,132.0,175.0,143.6,10.4,1.96,9.1,134.5,152.7,-11.6,-8.1,5.5,143.6 (±9.1),-11.6 (±9.1),-8.1% (±5.5%)
Варна,Вълчи дол,Female,105.0,108.0,105.0,107.0,112.0,123.0,134.0,107.4,2.6,1.96,2.3,105.10000000000001,109.7,15.6,14.5,2.4,107.4 (±2.3),15.6 (±2.3),14.5% (±2.4%)
Варна,Вълчи дол,Male,121.0,114.0,149.0,126.0,118.0,134.0,118.0,125.6,12.3,1.96,10.8,114.8,136.4,8.4,6.7,8.5,125.6 (±10.8),8.4 (±10.8),6.7% (±8.5%)
Варна,Вълчи дол,Total,226.0,222.0,254.0,233.0,230.0,257.0,252.0,233.0,11.1,1.96,9.7,223.3,242.7,24.0,10.3,4.4,233.0 (±9.7),24.0 (±9.7),10.3% (±4.4%)
Варна,Девня,Female,65.0,65.0,79.0,69.0,56.0,72.0,103.0,66.8,7.4,1.96,6.5,60.3,73.3,5.2,7.8,9.6,66.8 (±6.5),5.2 (±6.5),7.8% (±9.6%)
Варна,Девня,Male,61.0,65.0,68.0,65.0,70.0,73.0,91.0,65.8,3.1,1.96,2.7,63.099999999999994,68.5,7.2,10.9,4.3,65.8 (±2.7),7.2 (±2.7),10.9% (±4.3%)
Варна,Девня,Total,126.0,130.0,147.0,134.0,126.0,145.0,194.0,132.6,7.8,1.96,6.8,125.8,139.4,12.4,9.4,5.4,132.6 (±6.8),12.4 (±6.8),9.4% (±5.4%)
Варна,Долни чифлик,Female,130.0,156.0,139.0,140.0,131.0,157.0,166.0,139.2,9.3,1.96,8.2,131.0,147.39999999999998,17.8,12.8,6.3,139.2 (±8.2),17.8 (±8.2),12.8% (±6.3%)
Варна,Долни чифлик,Male,156.0,153.0,146.0,144.0,164.0,166.0,198.0,152.6,7.2,1.96,6.3,146.29999999999998,158.9,13.4,8.8,4.3,152.6 (±6.3),13.4 (±6.3),8.8% (±4.3%)
Варна,Долни чифлик,Total,286.0,309.0,285.0,284.0,295.0,323.0,364.0,291.8,9.5,1.96,8.3,283.5,300.1,31.2,10.7,3.1,291.8 (±8.3),31.2 (±8.3),10.7% (±3.1%)
Варна,Дългопол,Female,95.0,116.0,115.0,94.0,105.0,103.0,144.0,105.0,9.4,1.96,8.2,96.8,113.2,-2.0,-1.9,7.1,105.0 (±8.2),-2.0 (±8.2),-1.9% (±7.1%)
Варна,Дългопол,Male,130.0,124.0,131.0,125.0,130.0,142.0,177.0,128.0,2.9,1.96,2.5,125.5,130.5,14.0,10.9,2.1,128.0 (±2.5),14.0 (±2.5),10.9% (±2.1%)
Варна,Дългопол,Total,225.0,240.0,246.0,219.0,235.0,245.0,321.0,233.0,9.8,1.96,8.6,224.4,241.6,12.0,5.2,3.8,233.0 (±8.6),12.0 (±8.6),5.2% (±3.8%)
Варна,Провадия,Female,194.0,189.0,161.0,164.0,176.0,188.0,225.0,176.8,13.1,1.96,11.5,165.3,188.3,11.2,6.3,6.5,176.8 (±11.5),11.2 (±11.5),6.3% (±6.5%)
Варна,Провадия,Male,208.0,180.0,178.0,191.0,181.0,226.0,274.0,187.6,11.1,1.96,9.7,177.9,197.29999999999998,38.4,20.5,6.0,187.6 (±9.7),38.4 (±9.7),20.5% (±6.0%)
Варна,Провадия,Total,402.0,369.0,339.0,355.0,357.0,414.0,499.0,364.4,21.1,1.96,18.5,345.9,382.9,49.6,13.6,5.5,364.4 (±18.5),49.6 (±18.5),13.6% (±5.5%)
Варна,Суворово,Female,68.0,65.0,72.0,74.0,60.0,67.0,84.0,67.8,5.0,1.96,4.4,63.4,72.2,-0.8,-1.2,6.0,67.8 (±4.4),-0.8 (±4.4),-1.2% (±6.0%)
Варна,Суворово,Male,78.0,81.0,87.0,85.0,81.0,88.0,90.0,82.4,3.2,1.96,2.8,79.60000000000001,85.2,5.6,6.8,3.5,82.4 (±2.8),5.6 (±2.8),6.8% (±3.5%)
Варна,Суворово,Total,146.0,146.0,159.0,159.0,141.0,155.0,174.0,150.2,7.4,1.96,6.5,143.7,156.7,4.8,3.2,4.3,150.2 (±6.5),4.8 (±6.5),3.2% (±4.3%)
