Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Добрич,Добрич,Total,1107.0,1058.0,1151.0,1181.0,1180.0,1373.0,1689.0
Добрич,Добрич-селска,Female,253.0,210.0,231.0,222.0,225.0,220.0,257.0
Добрич,Добрич-селска,Male,278.0,241.0,288.0,247.0,233.0,279.0,327.0
Добрич,Добрич-селска,Total,531.0,451.0,519.0,469.0,458.0,499.0,584.0
Добрич,Каварна,Female,126.0,96.0,115.0,103.0,94.0,150.0,159.0
Добрич,Каварна,Male,135.0,113.0,126.0,118.0,117.0,134.0,176.0
Добрич,Каварна,Total,261.0,209.0,241.0,221.0,211.0,284.0,335.0
Добрич,Крушари,Female,38.0,35.0,36.0,43.0,33.0,38.0,37.0
Добрич,Крушари,Male,63.0,41.0,44.0,57.0,52.0,35.0,65.0
Добрич,Крушари,Total,101.0,76.0,80.0,100.0,85.0,73.0,102.0
Добрич,Тервел,Female,103.0,106.0,113.0,86.0,106.0,121.0,140.0
Добрич,Тервел,Male,133.0,141.0,142.0,136.0,127.0,154.0,161.0
Добрич,Тервел,Total,236.0,247.0,255.0,222.0,233.0,275.0,301.0
Добрич,Шабла,Female,52.0,50.0,55.0,51.0,57.0,45.0,68.0
Добрич,Шабла,Male,57.0,44.0,62.0,63.0,44.0,48.0,79.0
Добрич,Шабла,Total,109.0,94.0,117.0,114.0,101.0,93.0,147.0
Кърджали,Ардино,Female,81.0,83.0,89.0,78.0,89.0,100.0,123.0
Кърджали,Ардино,Male,87.0,94.0,88.0,115.0,92.0,117.0,135.0
Кърджали,Ардино,Total,168.0,177.0,177.0,193.0,181.0,217.0,258.0
Кърджали,Джебел,Female,44.0,35.0,37.0,34.0,44.0,53.0,59.0
Кърджали,Джебел,Male,58.0,58.0,54.0,59.0,46.0,60.0,74.0
Кърджали,Джебел,Total,102.0,93.0,91.0,93.0,90.0,113.0,133.0
Кърджали,Кирково,Female,136.0,155.0,153.0,141.0,150.0,171.0,222.0
Кърджали,Кирково,Male,164.0,162.0,164.0,162.0,183.0,202.0,248.0
Кърджали,Кирково,Total,300.0,317.0,317.0,303.0,333.0,373.0,470.0
Кърджали,Крумовград,Female,122.0,105.0,118.0,110.0,99.0,121.0,178.0
Кърджали,Крумовград,Male,145.0,127.0,138.0,122.0,133.0,139.0,198.0
Кърджали,Крумовград,Total,267.0,232.0,256.0,232.0,232.0,260.0,376.0
Кърджали,Кърджали,Female,362.0,361.0,400.0,376.0,391.0,432.0,564.0
Кърджали,Кърджали,Male,403.0,436.0,407.0,411.0,419.0,522.0,588.0
Кърджали,Кърджали,Total,765.0,797.0,807.0,787.0,810.0,954.0,1152.0
Кърджали,Момчилград,Female,98.0,68.0,83.0,88.0,83.0,104.0,107.0
Кърджали,Момчилград,Male,92.0,88.0,104.0,116.0,112.0,123.0,140.0
Кърджали,Момчилград,Total,190.0,156.0,187.0,204.0,195.0,227.0,247.0
Кърджали,Черноочене,Female,64.0,54.0,68.0,60.0,59.0,63.0,87.0
Кърджали,Черноочене,Male,53.0,76.0,56.0,69.0,62.0,83.0,94.0
Кърджали,Черноочене,Total,117.0,130.0,124.0,129.0,121.0,146.0,181.0
Кюстендил,Бобов дол,Female,72.0,72.0,84.0,68.0,68.0,101.0,113.0
Кюстендил,Бобов дол,Male,98.0,99.0,105.0,93.0,106.0,111.0,129.0
Кюстендил,Бобов дол,Total,170.0,171.0,189.0,161.0,174.0,212.0,242.0
Кюстендил,Бобошево,Female,34.0,37.0,50.0,40.0,33.0,43.0,58.0
Кюстендил,Бобошево,Male,46.0,40.0,52.0,27.0,44.0,56.0,40.0
Кюстендил,Бобошево,Total,80.0,77.0,102.0,67.0,77.0,99.0,98.0
Кюстендил,Дупница,Female,352.0,346.0,330.0,340.0,316.0,402.0,467.0
Кюстендил,Дупница,Male,394.0,389.0,365.0,400.0,388.0,455.0,506.0
Кюстендил,Дупница,Total,746.0,735.0,695.0,740.0,704.0,857.0,973.0
Кюстендил,Кочериново,Female,66.0,57.0,78.0,73.0,54.0,68.0,82.0
Кюстендил,Кочериново,Male,68.0,69.0,69.0,70.0,75.0,77.0,78.0
Кюстендил,Кочериново,Total,134.0,126.0,147.0,143.0,129.0,145.0,160.0
Кюстендил,Кюстендил,Female,506.0,477.0,509.0,480.0,475.0,560.0,660.0
Кюстендил,Кюстендил,Male,483.0,549.0,553.0,507.0,529.0,580.0,732.0
Кюстендил,Кюстендил,Total,989.0,1026.0,1062.0,987.0,1004.0,1140.0,1392.0
Кюстендил,Невестино,Female,58.0,59.0,51.0,55.0,35.0,38.0,48.0
Кюстендил,Невестино,Male,46.0,47.0,45.0,56.0,55.0,54.0,62.0
Кюстендил,Невестино,Total,104.0,106.0,96.0,111.0,90.0,92.0,110.0
Кюстендил,Рила,Female,32.0,34.0,38.0,36.0,44.0,34.0,49.0
Кюстендил,Рила,Male,38.0,42.0,43.0,21.0,37.0,36.0,47.0
Кюстендил,Рила,Total,70.0,76.0,81.0,57.0,81.0,70.0,96.0
Кюстендил,Сапарева баня,Female,57.0,62.0,52.0,62.0,55.0,62.0,97.0
Кюстендил,Сапарева баня,Male,85.0,64.0,83.0,77.0,83.0,109.0,88.0
Кюстендил,Сапарева баня,Total,142.0,126.0,135.0,139.0,138.0,171.0,185.0
Кюстендил,Трекляно,Female,17.0,20.0,10.0,17.0,21.0,8.0,16.0
Кюстендил,Трекляно,Male,21.0,22.0,16.0,14.0,18.0,13.0,23.0
Кюстендил,Трекляно,Total,38.0,42.0,26.0,31.0,39.0,21.0,39.0
Ловеч,Априлци,Female,43.0,40.0,51.0,30.0,44.0,44.0,48.0
Ловеч,Априлци,Male,49.0,56.0,34.0,39.0,37.0,42.0,49.0
Ловеч,Априлци,Total,92.0,96.0,85.0,69.0,81.0,86.0,97.0
Ловеч,Летница,Female,27.0,45.0,48.0,41.0,37.0,40.0,53.0
Ловеч,Летница,Male,33.0,49.0,38.0,38.0,53.0,55.0,50.0
Ловеч,Летница,Total,60.0,94.0,86.0,79.0,90.0,95.0,103.0
Ловеч,Ловеч,Female,410.0,431.0,393.0,400.0,419.0,473.0,515.0
Ловеч,Ловеч,Male,447.0,448.0,512.0,468.0,488.0,524.0,617.0
Ловеч,Ловеч,Total,857.0,879.0,905.0,868.0,907.0,997.0,1132.0
Ловеч,Луковит,Female,166.0,156.0,166.0,138.0,148.0,160.0,190.0
Ловеч,Луковит,Male,156.0,163.0,191.0,161.0,178.0,187.0,210.0
Ловеч,Луковит,Total,322.0,319.0,357.0,299.0,326.0,347.0,400.0
Ловеч,Тетевен,Female,160.0,130.0,184.0,140.0,145.0,185.0,217.0
Ловеч,Тетевен,Male,183.0,153.0,190.0,170.0,176.0,195.0,239.0
Ловеч,Тетевен,Total,343.0,283.0,374.0,310.0,321.0,380.0,456.0
Ловеч,Троян,Female,278.0,255.0,306.0,281.0,309.0,285.0,393.0
Ловеч,Троян,Male,298.0,280.0,272.0,305.0,291.0,312.0,399.0
Ловеч,Троян,Total,576.0,535.0,578.0,586.0,600.0,597.0,792.0
Ловеч,Угърчин,Female,107.0,90.0,85.0,85.0,69.0,77.0,84.0
Ловеч,Угърчин,Male,82.0,103.0,93.0,81.0,70.0,73.0,83.0
Ловеч,Угърчин,Total,189.0,193.0,178.0,166.0,139.0,150.0,167.0
Ловеч,Ябланица,Female,49.0,48.0,58.0,55.0,57.0,49.0,76.0
Ловеч,Ябланица,Male,54.0,63.0,78.0,50.0,61.0,53.0,74.0
Ловеч,Ябланица,Total,103.0,111.0,136.0,105.0,118.0,102.0,150.0
Монтана,Берковица,Female,218.0,196.0,203.0,207.0,195.0,220.0,226.0
Монтана,Берковица,Male,182.0,200.0,181.0,183.0,164.0,245.0,254.0
Монтана,Берковица,Total,400.0,396.0,384.0,390.0,359.0,465.0,480.0
Монтана,Бойчиновци,Female,116.0,109.0,108.0,119.0,118.0,116.0,117.0
Монтана,Бойчиновци,Male,137.0,119.0,127.0,109.0,114.0,118.0,159.0
Монтана,Бойчиновци,Total,253.0,228.0,235.0,228.0,232.0,234.0,276.0
Монтана,Брусарци,Female,69.0,52.0,63.0,58.0,54.0,49.0,75.0
Монтана,Брусарци,Male,64.0,78.0,58.0,66.0,57.0,76.0,96.0
Монтана,Брусарци,Total,133.0,130.0,121.0,124.0,111.0,125.0,171.0
Монтана,Вълчедръм,Female,117.0,99.0,116.0,103.0,108.0,120.0,155.0
